"CubeId";"babilhypisdpua"
"PublishingDate";"2020-09-24 09:00"

"Date";"INLANDAUSLAND";"BANKENGRUPPE";"Value"
"2003";"SZ";"G25";"1359.804"
"2003";"OW";"S10";"3120.717"
"2003";"OW";"G10";"2000.821"
"2003";"OW";"G15";"502.752"
"2003";"OW";"G20";"89.322"
"2003";"OW";"G25";"485.907"
"2003";"NW";"S10";"3671.185"
"2003";"NW";"G10";"1836.021"
"2003";"NW";"G15";"901.611"
"2003";"NW";"G20";"23.904"
"2003";"NW";"G25";"809.834"
"2003";"GL";"S10";"2905.517"
"2003";"GL";"G10";"1802.413"
"2003";"GL";"G15";"604.208"
"2003";"GL";"G20";"296.015"
"2003";"GL";"G25";"183.458"
"2003";"ZG";"S10";"11530.74"
"2003";"ZG";"G10";"6419.415"
"2003";"ZG";"G15";"2704.357"
"2003";"ZG";"G20";"55.471"
"2003";"ZG";"G25";"1980.127"
"2003";"FR";"S10";"16539.439"
"2003";"FR";"G10";"5845.378"
"2003";"FR";"G15";"5278.296"
"2003";"FR";"G20";"1285.888"
"2003";"FR";"G25";"3549.18"
"2003";"SO";"S10";"20933.393"
"2003";"SO";"G10";"1694.98"
"2003";"SO";"G15";"5967.803"
"2003";"SO";"G20";"5962.163"
"2003";"SO";"G25";"6081.997"
"2003";"BS";"S10";"12259.618"
"2003";"BS";"G10";"5087.36"
"2003";"BS";"G15";"5081.207"
"2003";"BS";"G20";"123.844"
"2003";"BS";"G25";"134.82"
"2003";"BL";"S10";"23021.988"
"2003";"BL";"G10";"10927.998"
"2003";"BL";"G15";"7158.998"
"2003";"BL";"G20";"702.282"
"2003";"BL";"G25";"1822.594"
"2003";"SH";"S10";"5975.821"
"2003";"SH";"G10";"2641.522"
"2003";"SH";"G15";"1518.867"
"2003";"SH";"G20";"1215.349"
"2003";"SH";"G25";"288.622"
"2003";"AR";"S10";"3506.35"
"2003";"AR";"G10";"973.438"
"2003";"AR";"G15";"1562.675"
"2003";"AR";"G20";"242.446"
"2003";"AR";"G25";"576.055"
"2003";"AI";"S10";"1209.972"
"2003";"AI";"G10";"809.965"
"2003";"AI";"G15";"118.286"
"2003";"AI";"G20";"15.47"
"2003";"AI";"G25";"256.655"
"2003";"SG";"S10";"37210.023"
"2003";"SG";"G10";"11914.882"
"2003";"SG";"G15";"6953.137"
"2003";"SG";"G20";"5090.854"
"2003";"SG";"G25";"12120.28"
"2003";"GR";"S10";"18237.429"
"2003";"GR";"G10";"9652.947"
"2003";"GR";"G15";"5220.205"
"2003";"GR";"G20";"156.911"
"2003";"GR";"G25";"2627.099"
"2003";"AG";"S10";"51434.3"
"2003";"AG";"G10";"11997.723"
"2003";"AG";"G15";"11337.273"
"2003";"AG";"G20";"16466.041"
"2003";"AG";"G25";"9242.405"
"2003";"TG";"S10";"20724.953"
"2003";"TG";"G10";"10782.782"
"2003";"TG";"G15";"4210.837"
"2003";"TG";"G20";"167.032"
"2003";"TG";"G25";"4905.112"
"2003";"TI";"S10";"24358.457"
"2003";"TI";"G10";"4968.674"
"2003";"TI";"G15";"10424.132"
"2003";"TI";"G20";"145.386"
"2003";"TI";"G25";"4483.485"
"2003";"VD";"S10";"38677.499"
"2003";"VD";"G10";"15855.703"
"2003";"VD";"G15";"15999.501"
"2003";"VD";"G20";"1095.808"
"2003";"VD";"G25";"2877.175"
"2003";"VS";"S10";"16642.817"
"2003";"VS";"G10";"4602.484"
"2003";"VS";"G15";"6419.054"
"2003";"VS";"G20";"134.583"
"2003";"VS";"G25";"4898.239"
"2003";"NE";"S10";"8159.204"
"2003";"NE";"G10";"3033.501"
"2003";"NE";"G15";"3731.567"
"2003";"NE";"G20";"28.649"
"2003";"NE";"G25";"799.078"
"2003";"GE";"S10";"24312.93"
"2003";"GE";"G10";"6046.387"
"2003";"GE";"G15";"13681.701"
"2003";"GE";"G20";"27.777"
"2003";"GE";"G25";"1183.528"
"2003";"JU";"S10";"4548.046"
"2003";"JU";"G10";"1198.404"
"2003";"JU";"G15";"1399.566"
"2003";"JU";"G20";"544.811"
"2003";"JU";"G25";"1266.481"
"2004";"CHE1";"S10";"586809.428"
"2004";"CHE1";"G10";"203217.926"
